                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3787,                0.99988,                 1.2273,                0.65052,                0.69271,                0.67186,                0.35678,                 1.7567,                 1.2363,                 1.4398,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.3322,                 0.9741,                 1.2069,                0.68898,                0.66194,                 0.6553,                0.35051,                 1.7599,                 1.2789,                 1.4536,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.3465,                 0.9694,                 1.1991,                0.62841,                0.69672,                0.67488,                0.35369,                 1.7566,                 1.2563,                 1.4474,             0.00019799,             0.00019799,             0.00019799
                     75,                  1.322,                0.95226,                 1.1947,                0.72945,                0.62017,                0.65582,                0.34459,                  1.774,                 1.2175,                 1.4573,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.3342,                0.97004,                 1.1959,                0.68123,                0.68323,                0.67642,                0.35043,                 1.7689,                 1.2403,                 1.4682,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.3183,                0.94354,                 1.1935,                0.67018,                0.63154,                0.64414,                 0.3401,                 1.7985,                 1.2699,                 1.4864,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.3273,                0.94396,                 1.1936,                0.64825,                0.67348,                0.66795,                0.35598,                 1.7565,                 1.2541,                 1.4645,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.3175,                0.94537,                 1.1833,                0.70063,                0.65913,                0.66242,                0.36034,                 1.7377,                 1.2375,                 1.4594,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.3031,                0.92806,                 1.1966,                 0.6495,                0.70237,                0.67394,                0.36352,                 1.7606,                 1.2309,                 1.4768,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.2926,                0.91627,                 1.1758,                0.64859,                0.68931,                0.64365,                0.34803,                 1.7917,                 1.2386,                 1.4954,             0.00014851,             0.00014851,             0.00014851
                     82,                  1.284,                0.90511,                 1.1812,                0.72702,                0.67993,                0.68124,                 0.3598,                  1.761,                 1.2406,                 1.4682,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.2915,                0.91219,                 1.1646,                0.65517,                0.66174,                0.64264,                0.34898,                 1.7911,                   1.25,                 1.4947,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.2781,                0.90672,                 1.1701,                0.69906,                0.69695,                0.67692,                0.36048,                 1.7634,                 1.2355,                 1.4733,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.3112,                0.91446,                 1.1807,                0.64006,                0.69118,                0.66222,                0.35837,                 1.7809,                 1.2221,                 1.4858,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.2698,                0.89417,                 1.1664,                0.64682,                0.70004,                0.65736,                0.36925,                 1.7746,                 1.2106,                 1.4949,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.2914,                0.89626,                 1.1791,                0.65148,                0.68616,                0.66815,                0.36568,                 1.7771,                 1.2219,                  1.495,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.2698,                0.89173,                 1.1705,                 0.6786,                0.69747,                0.67321,                0.36853,                 1.7725,                 1.2236,                 1.4817,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.2571,                0.86243,                 1.1571,                0.69651,                0.69046,                0.69118,                0.36499,                 1.7596,                 1.2224,                 1.4581,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.2427,                0.86023,                 1.1511,                0.69365,                0.69841,                0.69052,                0.36247,                 1.7592,                 1.2184,                 1.4703,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.2788,                0.87023,                  1.189,                0.61745,                0.69209,                0.66067,                0.35887,                 1.7757,                 1.2123,                 1.4935,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.2467,                 0.8249,                 1.1702,                0.67315,                0.69146,                0.69191,                0.37089,                 1.7472,                  1.225,                 1.4665,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.2174,                0.80226,                 1.1513,                0.67956,                0.68641,                0.67259,                0.36951,                 1.7488,                 1.2268,                 1.4777,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.2011,                 0.7889,                 1.1459,                0.68032,                0.69178,                0.67664,                0.36554,                  1.759,                  1.225,                 1.4786,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.1943,                0.76914,                 1.1457,                 0.7081,                0.69449,                0.68674,                 0.3708,                 1.7482,                  1.222,                 1.4701,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.1771,                0.76923,                 1.1424,                0.71566,                0.69149,                0.69474,                0.37373,                  1.761,                 1.2254,                 1.4807,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                  1.178,                0.75885,                 1.1276,                0.76598,                0.65653,                0.70035,                0.37512,                 1.7624,                 1.2237,                  1.478,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.1571,                0.75559,                  1.119,                0.72582,                0.69965,                0.69111,                0.37596,                 1.7618,                 1.2009,                 1.4831,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.1682,                0.76863,                 1.1339,                0.71291,                 0.7171,                 0.7009,                0.37793,                 1.7528,                 1.2319,                 1.4721,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.1701,                0.75147,                 1.1304,                0.71319,                0.69311,                0.69456,                0.37354,                 1.7593,                 1.2088,                 1.4813,             1.4209e-05,             1.4209e-05,             1.4209e-05
